id,categoria,corso,id_sezione,risorsa,keywords
0,Abilità informatiche,Editoria Digitale 2017/2018,1002,Risorse online,''Random Variables and Distributions''
1,Abilità informatiche,Editoria Digitale 2017/2018,1002,"Lezioni05/10/2017Presentazione del corso, modalità...",''Random Variables and Distributions''
2,Abilità informatiche,Editoria Digitale 2017/2018,1002,10/10/2017Scenari della nuova editoria&nbsp;Lettur...,''Random Variables and Distributions''
3,Abilità informatiche,Editoria Digitale 2017/2018,1002,12/10/2017Il libro digitale e le sue origini&nbsp;...,''Random Variables and Distributions''
4,Abilità informatiche,Editoria Digitale 2017/2018,1002,17/10/2017Il mercato del libro&nbsp;Letture:&nbsp;...,''Random Variables and Distributions''
5,Abilità informatiche,Editoria Digitale 2017/2018,1002,19/10/2017Il mercato dell'editoria (lucidi precede...,''Random Variables and Distributions''
6,Abilità informatiche,Editoria Digitale 2017/2018,1002,24/10/2017Il mercato del libro digitale,''Random Variables and Distributions''
7,Abilità informatiche,Editoria Digitale 2017/2018,1002,02/11/2017La lettura che cambia (lucidi precedenti...,''Random Variables and Distributions''
8,Abilità informatiche,Editoria Digitale 2017/2018,1002,07/11/2017Il formato ePub 2,''Random Variables and Distributions''
9,Abilità informatiche,Editoria Digitale 2017/2018,1002,09/11/2017Delucidazione sulle richieste del proget...,''Random Variables and Distributions''
10,Abilità informatiche,Editoria Digitale 2017/2018,1002,14/11/2017Implementazione della struttura di un do...,''Random Variables and Distributions''
11,Abilità informatiche,Editoria Digitale 2017/2018,1002,16/11/2017Il formato ePub 3,''Random Variables and Distributions''
12,Abilità informatiche,Editoria Digitale 2017/2018,1002,21/11/2017Le risorse multimediali in ePub 3,''Random Variables and Distributions''
13,Abilità informatiche,Editoria Digitale 2017/2018,1002,23/11/2017Gli overlay audio in ePub 3. Esempio: Il...,''Random Variables and Distributions''
14,Abilità informatiche,Editoria Digitale 2017/2018,1002,28/11/2017lezione sospesa per test nazionale di Me...,''Random Variables and Distributions''
15,Abilità informatiche,Editoria Digitale 2017/2018,1002,16/01/2018Test di valutazione per tutti gli appell...,''Random Variables and Distributions''
16,Abilità informatiche,Editoria Digitale 2017/2018,1003,Esame 2018,''Expectation''
17,Abilità informatiche,Editoria Digitale 2017/2018,1003,Lavori di gruppo,''Expectation''
18,Abilità informatiche,Editoria Digitale 2017/2018,1003,Chat di Editoria Digitale,''Expectation''
19,Abilità informatiche,Progetto multimediale 2016/2017,1024,Annunci,''Collecting Data''
20,Abilità informatiche,Progetto multimediale 2016/2017,1025,Moodboard File,''Sampling Distributions of Statistics''
21,Abilità informatiche,Progetto multimediale 2016/2017,1025,Compito,''Sampling Distributions of Statistics''
22,Abilità informatiche,Progetto multimediale 2016/2017,1026,EsQueneau File,''Inference''
23,Abilità informatiche,Progetto multimediale 2016/2017,1026,Queneau_esercizi di stile File,''Inference''
24,Abilità informatiche,Progetto multimediale 2016/2017,1026,Compito,''Inference''
25,Abilità informatiche,Progetto multimediale 2016/2017,1026,Iscritti,''Inference''
26,Abilità informatiche,Progetto multimediale 2016/2017,1027,Epica,''Linear Regression and Correlation''
27,Abilità informatiche,Progetto multimediale 2016/2017,1027,Cantastorie dei balcani URL,''Linear Regression and Correlation''
28,Abilità informatiche,Progetto multimediale 2016/2017,1027,"Chunhyang, film coreano 2000",''Linear Regression and Correlation''
29,Abilità informatiche,Progetto multimediale 2016/2017,1027,"The tales of Hoffmann, film britannico 1951, pellicola restaurata Venezia 2014",''Linear Regression and Correlation''
30,Abilità informatiche,Progetto multimediale 2016/2017,1028,Morfologia della fiaba di Propp,''Nonparametric Statistical Methods''
31,Abilità informatiche,Progetto multimediale 2016/2017,1028,La fiaba Lo zar orso,''Nonparametric Statistical Methods''
32,Abilità informatiche,Progetto multimediale 2016/2017,1029,Greimas,"''Collective Behavior, from Particles to Fields''"
33,Abilità informatiche,Progetto multimediale 2016/2017,1030,Il soggetto File,''The Landau-Ginzburg Approach''
34,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1087,Annunci,''Limit Theorems''
35,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1087,"Docenti e Tutor
    
      
        Docente: An...",''Limit Theorems''
36,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1087,Messenger,''Limit Theorems''
37,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1089,Annunci,''Classical Statistical Inference''
38,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1089,Chat 4.0,''Classical Statistical Inference''
39,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1090,Continuità superficie,''Introduction''
40,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1090,Loft sweep,''Introduction''
41,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1090,Pezzi meccanici,''Introduction''
42,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1090,Rivoluzione,''Introduction''
43,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1090,Scorri lungo superficie,''Introduction''
44,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1091,Esercizi,''Brief Review of Probabilistic Modeling''
45,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1092,"

Descrizione

SIAM, all’interno del Polo Tecn...",''Markov processes and their application to queueing''
46,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1092,Calendario,''Markov processes and their application to queueing''
47,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1093,Ultimaker 3Cura Regole della stampa 3DStampa 3DDam...,''Introduction to Queueing Theory and Its Applications''
48,Abilità informatiche,INDUSTRY 4.0 E SMART FACTORY,1093,Esempi,''Introduction to Queueing Theory and Its Applications''
49,Abilità informatiche,"ITS Rizzoli - Programmatore Java, Android e Web",1094,10/05/2018Concetti base,''The Weibull distribution and parameter estimation''
