id,risorsa,keywords,categoria
0,Risorse online,''Random Variables and Distributions'',Abilità informatiche
1,"Lezioni05/10/2017Presentazione del corso, modalità...",''Random Variables and Distributions'',Abilità informatiche
2,10/10/2017Scenari della nuova editoria&nbsp;Lettur...,''Random Variables and Distributions'',Abilità informatiche
3,12/10/2017Il libro digitale e le sue origini&nbsp;...,''Random Variables and Distributions'',Abilità informatiche
4,17/10/2017Il mercato del libro&nbsp;Letture:&nbsp;...,''Random Variables and Distributions'',Abilità informatiche
5,19/10/2017Il mercato dell'editoria (lucidi precede...,''Random Variables and Distributions'',Abilità informatiche
6,24/10/2017Il mercato del libro digitale,''Random Variables and Distributions'',Abilità informatiche
7,02/11/2017La lettura che cambia (lucidi precedenti...,''Random Variables and Distributions'',Abilità informatiche
8,07/11/2017Il formato ePub 2,''Random Variables and Distributions'',Abilità informatiche
9,09/11/2017Delucidazione sulle richieste del proget...,''Random Variables and Distributions'',Abilità informatiche
10,14/11/2017Implementazione della struttura di un do...,''Random Variables and Distributions'',Abilità informatiche
11,16/11/2017Il formato ePub 3,''Random Variables and Distributions'',Abilità informatiche
12,21/11/2017Le risorse multimediali in ePub 3,''Random Variables and Distributions'',Abilità informatiche
13,23/11/2017Gli overlay audio in ePub 3. Esempio: Il...,''Random Variables and Distributions'',Abilità informatiche
14,28/11/2017lezione sospesa per test nazionale di Me...,''Random Variables and Distributions'',Abilità informatiche
15,16/01/2018Test di valutazione per tutti gli appell...,''Random Variables and Distributions'',Abilità informatiche
16,Esame 2018,''Further Topics on Random Variables'',Abilità informatiche
17,Lavori di gruppo,''Expectation'',Abilità informatiche
18,Chat di Editoria Digitale,''Expectation'',Abilità informatiche
19,Annunci,''Module 1'',Abilità informatiche
20,Moodboard File,''Sampling Distributions of Statistics'',Abilità informatiche
21,Compito,''Inference'',Abilità informatiche
22,EsQueneau File,''Inference'',Abilità informatiche
23,Queneau_esercizi di stile File,''Inference'',Abilità informatiche
24,Iscritti,''Inference'',Abilità informatiche
25,Epica,''Linear Regression and Correlation'',Abilità informatiche
26,Cantastorie dei balcani URL,''Linear Regression and Correlation'',Abilità informatiche
27,"Chunhyang, film coreano 2000",''Linear Regression and Correlation'',Abilità informatiche
28,"The tales of Hoffmann, film britannico 1951, pellicola restaurata Venezia 2014",''Linear Regression and Correlation'',Abilità informatiche
29,Morfologia della fiaba di Propp,''Nonparametric Statistical Methods'',Abilità informatiche
30,La fiaba Lo zar orso,''Nonparametric Statistical Methods'',Abilità informatiche
31,Greimas,"''Collective Behavior, from Particles to Fields''",Abilità informatiche
32,Il soggetto File,''The Landau-Ginzburg Approach'',Abilità informatiche
33,"Docenti e Tutor
    
      
        Docente: An...",''Limit Theorems'',Abilità informatiche
34,Messenger,''Limit Theorems'',Abilità informatiche
35,Chat 4.0,''Classical Statistical Inference'',Abilità informatiche
36,Continuità superficie,''Introduction'',Abilità informatiche
37,Loft sweep,''Introduction'',Abilità informatiche
38,Pezzi meccanici,''Introduction'',Abilità informatiche
39,Rivoluzione,''Introduction'',Abilità informatiche
40,Scorri lungo superficie,''Introduction'',Abilità informatiche
41,Esercizi,''Simulation methods Code'',Abilità informatiche
42,"

Descrizione

SIAM, all’interno del Polo Tecn...",''Markov processes and their application to queueing'',Abilità informatiche
43,Calendario,''Markov processes and their application to queueing'',Abilità informatiche
44,Ultimaker 3Cura Regole della stampa 3DStampa 3DDam...,''Introduction to Queueing Theory and Its Applications'',Abilità informatiche
45,Esempi,''Introduction to Queueing Theory and Its Applications'',Abilità informatiche
46,10/05/2018Concetti base,''The Weibull distribution and parameter estimation'',Abilità informatiche
47,11/05/2018&nbsp;Windows.pdf,''The Weibull distribution and parameter estimation'',Abilità informatiche
48,12/05/2018PROCESSO DI SVILUPPO SOFTWARE E OPP• Int...,''Hypothesis testing'',Abilità informatiche
49,13/05/2018PROCESSO DI SVILUPPO SOFTWARE E OOP• Ana...,''Hypothesis testing'',Abilità informatiche
50,15/05/2018PROCESSO DI SVILUPPO SOFTWARE E OOP• Mod...,''Hypothesis testing'',Abilità informatiche
51,Esempio Lezione,''Simulation methods Code'',Abilità informatiche
52,Java 9,''Simulation methods Code'',Abilità informatiche
53,Progetti,''Regression'',Abilità informatiche
54,Samples,''Regression'',Abilità informatiche
55,Android Studio,''Regression'',Abilità informatiche
56,Esempi Lezione,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''",Abilità informatiche
57,Test,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''",Abilità informatiche
58,Test di ingresso,"''Analysis of variance, with discussion of Bayesian and frequentist statistics''",Abilità informatiche
59,&nbsp; INDUSTRIA 4.0IntroduzioneStrumenti e Tecnic...,''Multiple regression'',Abilità informatiche
60,Diritti digitali,''Nested variance components'',Abilità informatiche
61,LEZIONI ,''Nested variance components'',Abilità informatiche
62,LEZIONI TEORICHE,''Introduction'',Abilità informatiche
63,LINGUAGGI WEB,''Case study: tungsten CVD DOE/RSM'',Abilità informatiche
64,CREA IL TUO SITO ,''Case study: tungsten CVD DOE/RSM'',Abilità informatiche
65,Basi di Video Editing,''Introduction'',Abilità informatiche
66,ESEMPIO VIDEO EMOZIONALE ,''Introduction'',Abilità informatiche
67,Inbound & Outbound Marketing,''Matrix Algebra'',Abilità informatiche
68,"LEZIONI 1,2,3",''Matrix Algebra'',Abilità informatiche
69,Tecniche SEO e SEM,''Matrix Algebra'',Abilità informatiche
70,"LEZIONI 4,5,6,7",''Matrix Algebra'',Abilità informatiche
71,Lezione 1INTRODUZIONE,''General Random Variables'',Abilità informatiche
72,Lezioni,''Small-sample inference and bootstrap'',Abilità informatiche
73,Slide Fresa ,''Volatility models'',Abilità informatiche
74,Manuale,''Review'',Abilità informatiche
75,Morsetto,''Review'',Abilità informatiche
76,Mappatura,''Review'',Abilità informatiche
77,Pentola,''Review'',Abilità informatiche
78,Turbina,''Review'',Abilità informatiche
79,Programma del corsoPROGRAMMA DIDATTICO DEL CORSO (...,''Module 2'',Abilità informatiche
80,Programmazione orientata agli oggetti,''Module 3'',Abilità informatiche
81,"IoT (Internet of Things): significato, esempi e ap...",''Mathematical Description of Random Signals'',Abilità informatiche
82,Robotica: cos’è e come ci sta cambiando la vitaLa ...,''Response of linear Systems to Random Inputs'',Abilità informatiche
83,Che cos’è l’AutomazioneL’automazione avanza,''Wiener Filtering'',Abilità informatiche
84,Cos'è l'Internet of Robotics ThingSay hello to the...,"''The Discrete Kalman Filter, State-Space Modeling, Simulation''",Abilità informatiche
85,"Stampanti 3D: disegna, modella, creaCosa sono e co...",''The Continuous Kalman Filter'',Abilità informatiche
86,Che cos’è il laser cutting?,"''Prediction, Applications, and More Basics on Discrete Kalman Filtering''",Abilità informatiche
87,MACCHINE CNC: Cosa sono e come funzionanoFresa cnc,''Introduction'',Abilità informatiche
88,Arduino cos’è: come funziona e per cosa viene util...,''Qualifying Networks'',Abilità informatiche
89,Economia digitaleVantaggi e numeri della digital e...,''Social Networks'',Abilità informatiche
90,"
	                	
                	
         ...","''Networks, Complexity and Economic Development''",Abilità informatiche
91,autoGenRes4,autogenkey1,Abilità informatiche
92,autoGenRes3,autogenkey2,Abilità informatiche
93,autoGenRes2,autogenkey2,Abilità informatiche
94,autoGenRes1,autogenkey3,Abilità informatiche
95,prova,keys,Abilità informatiche
96,roba,roba,Abilità informatiche
97,autoGenResPart26,autogenkey1,Abilità informatiche
98,autoGenResPart25,autogenkey3,Abilità informatiche
99,autoGenResPart24,autogenkey1,Abilità informatiche
100,autoGenResPart23,autogenkey3,Abilità informatiche
101,autoGenResPart22,autogenkey3,Abilità informatiche
102,autoGenResPart21,autogenkey3,Abilità informatiche
103,resprogettomm3,autogenkey1,Abilità informatiche
104,"Voting classifiers, training error of boosting","boosting ,learning ,mathematics ,statistical ,statistics ,theory ,training",Probability and Statistics
105,Support vector machines (SVM),"learning ,mathematics ,statistical ,statistics ,support ,support vector machines ,theory ,vector",Probability and Statistics
106,Generalization error of SVM,"generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
107,One dimensional concentration inequalities. Bennett''s inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
108,Bernstein''s inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
109,"Hoeffding, Hoeffding-Chernoff, and Khinchine inequality","learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
110,Vapnik-Chervonenkis classes of sets,"learning ,mathematics ,sets ,statistical ,statistics ,theory",Probability and Statistics
111,Properties of VC classes of sets,"learning ,mathematics ,sets ,statistical ,statistics ,theory",Probability and Statistics
112,Symmetrization. Pessimistic VC inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
113,Optimistic VC inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
114,VC subgraph classes of functions. Packing and covering numbers,"functions ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
115,Covering numbers of the VC subgraph classes,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
116,Kolmogorov''s chaining method. Dudley''s entropy integral,"entropy ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
117,More symmetrization. Generalized VC inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
118,Consequences of the generalized VC inequality,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
119,Covering numbers of the convex hull,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
120,Uniform entropy condition of VC-hull classes,"entropy ,learning ,mathematics ,statistical ,statistics ,theory ,uniform",Probability and Statistics
121,Generalization error bound for VC-hull classes,"generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
122,Bounds on the generalization error of voting classifiers 1,"bounds ,generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
123,Bounds on the generalization error of voting classifiers 2,"bounds ,generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
124,Bounds on the generalization error of voting classifiers 3,"bounds ,generalization ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
125,Bounds in terms of sparsity,"bounds ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
126,Bounds in terms of sparsity : (example),"bounds ,learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
127,Martingale-difference inequalities,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
128,Comparison inequality for Rademacher processes,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
129,Application of martingale inequalities. Generalized martingale inequalities,"learning ,mathematics ,statistical ,statistics ,theory",Probability and Statistics
130,Generalization bounds for neural networks 1,"bounds ,generalization ,learning ,mathematics ,networks ,neural networks ,statistical ,statistics ,theory",Probability and Statistics
