"id_section","name","summary","keywords"
"30061","Mod2","Mod2",NULL
"30062","Mod3","Mod3",NULL
"30063","Mod4","Mod4",NULL
"30064","Mod5","Mod5",NULL
"30065",NULL,,NULL
"30071",NULL,,NULL
"30072",NULL,,NULL
"30073",NULL,,NULL
"30074",NULL,,NULL
"30075",NULL,,NULL
"30076",NULL,,NULL
"30078",NULL,,NULL
"30079","Mod1","Mod1",NULL
"30080","Mod2","Mod2",NULL
"30081","Mod3","Mod3",NULL
"30082",NULL,,NULL
"11000",NULL,,NULL
"1000","''Introduction to Probability''",,NULL
"1001","''Conditional Probability''",,NULL
"1002","''Random Variables and Distributions''",,NULL
"1003","''Expectation''",,NULL
"1004","''Special Distributions''",,NULL
"1005","''Large Random Samples''",,NULL
"1006","''Estimation''",,NULL
"1007","''Sampling Distributions of Estimators''",,NULL
"1008","''Testing Hypotheses''",,NULL
"1009","''Categorical Data and Nonparametric Methods''",,NULL
"11160",NULL,,NULL
"1160","''Introduction''",,NULL
"1161","''Technical Tools''",,NULL
"1162","''Vapnik-Chervonenkis Theory''",,NULL
"1163","''Concentration Inequalities''",,NULL
"10003",NULL,,NULL
"3","''Binomial confidence intervals''",,NULL
"10004",NULL,,NULL
"4","''Part 1: Introduction to Probability''",,NULL
"5","''Part 2: Introduction to System Reliability''",,NULL
"6","''Part 3: Introduction to Statistics''",,NULL
"11010",NULL,,NULL
"1010","''Stochastic Processes and Brownian Motion''",,NULL
"1011","''Non-equilibrium Thermodynamics''",,NULL
"1012","''Hydrodynamics and Light Scattering''",,NULL
"1013","''Time Correlation Functions''",,NULL
"11014",NULL,,NULL
"1014","''Algorithms in Data Mining''",,NULL
"1015","''A view on Support Vector Machines, boosting and regression based on regularized risk minimization''",,NULL
"1016","''Statistical learning theory''",,NULL
"1017","''Probabilistic Model and Bayesian analysis''",,NULL
"11018",NULL,,NULL
"1018","''Elements of Probability''",,NULL
"1019","''Random Variables and Expectation''",,NULL
"1020","''Special Random Variables''",,NULL
"1021","''Parameter estimation''",,NULL
"1022","''Hypothesis Testing''",,NULL
"13000",NULL,,NULL
"3000","''Decision Theory and Testing Simple Hypotheses''",,NULL
"3001","''Sufficiency and Estimation''",,NULL
"3002","''Bayes, Maximum Likelihood and M-estimation''",,NULL
"3003","''Asymptotics of Posterior Probabilities and Model Selection''",,NULL
"11023",NULL,,NULL
"1023","''Review of Probability''",,NULL
"1024","''Collecting Data''",,NULL
"1025","''Sampling Distributions of Statistics''",,NULL
"1026","''Inference''",,NULL
"1027","''Linear Regression and Correlation''",,NULL
"1028","''Nonparametric Statistical Methods''",,NULL
"13004",NULL,,NULL
"3004","''Module 1''",,NULL
"10015",NULL,,NULL
"15","''II. Probability''",,NULL
"16","''III. Kinetic Theory of Gases''",,NULL
"17","''IV. Classical Statistical Mechanics''",,NULL
"18","''V. Interacting Particles''",,NULL
"19","''VI. Quantum Statistical Mechanics''",,NULL
"20","''VII. Ideal Quantum Gases''",,NULL
"11029",NULL,,NULL
"1029","''Collective Behavior, from Particles to Fields''",,NULL
"1030","''The Landau-Ginzburg Approach''",,NULL
"1031","''The Scaling Hypothesis''",,NULL
"1032","''Perturbative Renormalization Group''",,NULL
"1033","''Position Space Renormalization Group''",,NULL
"1034","''Series Expansions''",,NULL
"1035","''Continuous Spins at Low Temperatures''",,NULL
"11036",NULL,,NULL
"1036","''Visualization''",,NULL
"1037","''Resampling''",,NULL
"1038","''Distributions''",,NULL
"1039","''Linear Model''",,NULL
"11040",NULL,,NULL
"1040","''Outliers and Quantiles''",,NULL
"1041","''Nonparametric Tests''",,NULL
"1042","''Empirical distribution functions: the KMT theorem''",,NULL
"1043","''Robustness''",,NULL
"1044","''M-estimation''",,NULL
"1045","''Multivariate Robustness''",,NULL
"11046",NULL,,NULL
"1046","''Introduction to Statistics''",,NULL
"1047","''Describing Data''",,NULL
"1048","''Probability''",,NULL
