"id","category","sortorder","fullname","shortname","idnumber","summary","summaryformat","format","showgrades","newsitems","startdate","enddate","marker","maxbytes","legacyfiles","showreports","visible","visibleold","groupmode","groupmodeforce","defaultgroupingid","lang","calendartype","theme","timecreated","timemodified","requested","enablecompletion","completionnotify","cacherev"
"1","0","1","WhoTeach Project","WhoTeach",,"<p></p><p style=""margin: 5px 0px 0px; padding: 0px; border: 0px; outline: 0px; font-weight: normal; font-style: normal; font-size: 14px; font-family: Arial; color: rgb(0, 0, 0); line-height: 20px; text-align: justify; font-variant: normal; letter-spacing: normal; orphans: auto; text-indent: 0px; text-transform: none; white-space: normal; widows: 1; word-spacing: 0px; -webkit-text-stroke-width: 0px;""><br></p><p></p>","0","site","1","5","0","0","0","0","0","0","1","1","0","0","0",,,,"1447767447","1507801566","0","0","0","1563799988"
"64","1","10011","Editoria Digitale 2017/2018","Editoria Digitale 2017/2018",,"<p><span style=""color: rgb(85, 85, 85); font-family: Helvetica, Verdana, Arial, sans-serif; font-size: 13.28px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: normal; letter-spacing: normal; orphans: 2; text-align: justify; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: rgb(255, 255, 255); text-decoration-style: initial; text-decoration-color: initial; display: inline !important; float: none;"">L'editoria si è profondamente trasformata negli ultimi vent'anni e costituisce un settore di notevole interesse per i laureati in Comunicazione digitale. Nel corso si descrivono le specificità del settore e si affrontano le prospettive aperte dall'introduzione delle tecnologie informatiche. Si esaminano le tecnologie usate, le caratteristiche dei diversi media e dei formati dei file. Si analizzano alcune esperienze significative di editoria digitale e online. Inoltre si riflette sui cambiamenti che si stanno imponendo anche nel rapporto tra produttori e consumatori di prodotti editoriali e sul ciclo di produzione stesso.&nbsp;</span><br></p>","1","topics","1","5","1507154400","0","0","0","0","0","1","1","0","0","0",,,,"1507115151","1510141827","0","0","0","1563799988"
"65","1","10010","Progetto multimediale 2016/2017","Progetto mm 2016/2017",,,"1","weeks","1","5","1518390000","1524445200","0","0","0","0","1","1","0","0","0",,,,"1518347443","1518347443","0","0","0","1563799988"
"71","1","10009","ITS Rizzoli - Programmatore Java, Android e Web","Programmatore Java, Android e Web",,"<p></p><h4>Profilo</h4><p>Tecnico per la progettazione e lo sviluppo di applicazioni informatiche</p><h4>Descrizione</h4><p>Il programmatore java, android e web opera e collabora nelle attività di analisi e progettazione, manutenzione evolutiva e collaudo delle soluzioni software, sulla base delle specifiche individuate utilizzando le metodologie più appropriate; contribuisce alle fasi di sviluppo, individuando gli strumenti più opportuni alla realizzazione delle applicazioni software. Lo specialista conosce il linguaggio di programmazione Java, la programmazione per Android e per il Web. La figura professionale è completata da competenze sugli aspetti di IoT (Internet of Things) che sono eterogenee e spaziano dalla conoscenza del dominio di applicazione, alla conoscenza delle architetture internet, dalla realizzazione di sensori&nbsp;hardware alla capacità di analizzare i dati da essi prodotti e caratterizzano il contesto dell’Industria 4.0.</p><p></p>","1","weeks","1","1","1525903200","1533772800","0","0","0","0","0","0","2","0","0","it",,,"1525962801","1526641246","0","0","0","1565625478"
"72","1","10008","INDUSTRY 4.0 E SMART FACTORY","IFTS 4.0",,"<p>Il corso&nbsp;è stato progettato per formare tecnici e operatori 
dell’Industry 4.0, nuovo settore &nbsp;tecnologico&nbsp; e industriale in grande 
espansione. L’intervento formativo spazia dalle nuove tecnologie che 
caratterizzano la manifattura 4.0&nbsp; e i nuovi contesti delle smart 
factory includendo anche tutte le tematiche e le competenze proprie 
dell’ambito gestionale e organizzativo,&nbsp; oltre che quelle della 
comunicazione &nbsp;contemporanea e dei nuovi strumenti digitali per il 
business .<br></p>","1","weeks","1","5","1506808800","1523743200","0","0","0","1","0","0","0","0","0",,,,"1525963746","1530885283","0","0","0","1563799988"
"74","1","10007","ITS Rizzoli -  Multichannel","ITS1",,"<p></p><p>Il corso prepara Tecnici Superiori con capacità di ideazione e realizzazione di progetti di comunicazione multicanale. Gli studenti sviluppano competenze e abilità necessarie a veicolare l’informazione su tutti i canali di comunicazione - carta stampata, web, mobile, social media, video e nuove tecnologie - identificando quelli più adatti per la promozione del prodotto/servizio di riferimento.</p><p>Il Tecnico Superiore è in grado di progettare un brand in sintonia con il posizionamento dello stesso e ne realizza la grafica operando idonee scelte di lettering e di cromia. Sintetizza testi ed informazioni per poi tradurli graficamente in un'infografica. Conosce e utilizza i software grafici (Photoshop, Illustrator, InDesign, Acrobat, XD CC), i software per il video editing e compositing. Conosce le tematiche inerenti la progettazione nello spazio tridimensionale utilizzando 3D Studio Max.<br>Ha una approfondita conoscenza dei linguaggi e degli strumenti per lo sviluppo di un sito web (html, css 2/3, sass, php, mysql, xml, json, html5, js jquery, js dom api, cms wordpress) come pure dei linguaggi avanzati e strumenti per lo sviluppo di una web app (bootstrap, bootstrap js, jquery avanzato, ajax, angularjs).<br>È in grado di partecipare alla definizione di una strategia di marketing digitale, conosce il funzionamento di Google, le logiche SEO (search engine optimization), realizza pagine aziendali di Facebook e Linkedin, segue campagne di email Marketing, conosce le metodologie di marketing automation one-to-one.</p><br><p></p>","1","weeks","1","5","1526594400","1532649600","0","0","0","0","0","0","2","0","0","it",,,"1526568907","1526639962","0","0","0","1563799988"
"75","1","10006","Introduzione al Corso IFTS Internet of Robotic Things","Intro IFTS 4.0 Robotic",,"<p></p><p>Il corso&nbsp;è stato progettato per formare 
tecnici e operatori nel campo dell’Automazione 
Avanzata:&nbsp;partendo&nbsp;dall’elettronica e dalla meccanica, si esplorerà il 
mondo della robotica integrandolo a quello&nbsp;dell’ Internet of Things.</p>

<p>Il corso è fortemente caratterizzato da un 
approccio laboratoriale; rifacendosi alle tipiche modalità dei fablab, 
luoghi dove si <em>impara-</em><em>facendo</em>, gli allievi 
apprenderanno come utilizzare gli strumenti principali della 
prototipazione rapida digitale e dell’ advanced fabrication. L’obiettivo
 è acquisire le competenze per padroneggiare non solo le tecnologie 
fonte di innovazione, ma&nbsp;anche il loro impatto nelle tecniche e&nbsp;nei 
processi di produzione industriali, oltre che sull’organizzazione delle 
imprese che erogano servizi.</p><br><p></p>","1","topics","0","5","1532037600","0","0","0","0","0","1","1","0","0","0",,,,"1531991620","1532012823","0","0","0","1563799988"
"76","1","10005","    Corso IFTS 4.0 Robotic 2018/2019","Iftsrobo18",,"<p>Obiettivo primario del corso&nbsp;è formare un esperto/tecnico superiore per 
la progettazione e lo sviluppo delle tecnologie dell’automazione&nbsp; per 
l’industria e per il terziario. L’intervento formativo spazia dalle 
nuove tecnologie che caratterizzano la&nbsp;rivoluzione 4.0, all’utilizzo di 
applicazioni informatiche per la robotica e&nbsp;l’automazione, includendo 
tutte le tematiche e le competenze proprie dell’ambito gestionale e 
organizzativo oltre che quelle della comunicazione &nbsp;contemporanea e dei 
nuovi strumenti&nbsp;del design thinking&nbsp;.<br></p>","1","topics","1","5","1540854000","0","0","0","0","0","0","0","0","0","0",,,,"1536161951","1536161951","0","0","0","1563799988"
"132","1","10004","fdssd","cm",,"fdssd","0","topics","1","1","1559599200","0","0","0","0","0","1","1","0","0","0",,,,"1559654175","1559655899","0","0","0","1565625480"
"133","1","10003","RS",,,"RS","0","topics","1","1","0","0","0","0","0","0","1","1","0","0","0",,,,"1560158800","1560158800","0","0","0","1563799988"
"167","22","60096","Topics in Statistics: Statistical Learning Theory","Topics in Statistics: Statistical Learning Theory",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"168","22","60095","Statistics for Applications","Statistics for Applications",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"169","22","60094","Probability and Statistics in Engineering","Probability and Statistics in Engineering",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"170","22","60093","Statistical Mechanics","Statistical Mechanics",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563870863"
"171","22","60092","Prediction: Machine Learning and Statistics","Prediction: Machine Learning and Statistics",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"172","22","60091","Introduction to Statistical Method in Economics","Introduction to Statistical Method in Economics",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"173","22","60090","Mathematical Statistics","Mathematical Statistics",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"174","22","60089","Statistical Thinking and Data Analysis","Statistical Thinking and Data Analysis",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1567600502"
"175","22","60088","Applied Quantum and Statistical Physics","Applied Quantum and Statistical Physics",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"176","22","60087","Statistical Mechanics I:Statistical Mechanics of Particles","Statistical Mechanics I:Statistical Mechanics of Particles",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"177","22","60086","Statistical Mechanics I:Statistical Mechanics of Particles copia 1","Statistical Mechanics I:Statistical Mechanics of Particles_1",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"178","22","60085","Statistical Mechanics II:Statistical Physics of Fields","Statistical Mechanics II:Statistical Physics of Fields",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"179","22","60084","Statistics and Visualization for Data Analysis and Inference","Statistics and Visualization for Data Analysis and Inference",,,"1","topics","1","0","1421761040","0","0","0","0","0","1","1","0","0","0",,,,"1421761040","1421761040","0","0","0","1563799988"
"180","22","60083","Topics in Statistics: Nonparametrics and Robustness","Topics in Statistics: Nonparametrics and Robustness",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"181","22","60082","Statistical Methods in Brain and Cognitive Science","Statistical Methods in Brain and Cognitive Science",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"182","22","60081","Quantitative Reasoning & Statistical Methods for Planners I","Quantitative Reasoning & Statistical Methods for Planners I",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"183","22","60080","Statistical Learning Theory and Applications","Statistical Learning Theory and Applications",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"184","22","60079","Introduction to Statistical Methods in Economics","Introduction to Statistical Methods in Economics",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"185","22","60078","Probabilistic Systems Analysis and Applied Probability","Probabilistic Systems Analysis and Applied Probability",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1568818912"
"186","22","60077","Models, Data and Inference for Socio-Technical Systems","Models, Data and Inference for Socio-Technical Systems",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"187","22","60076","Quantitative Research in Political Science and Public Policy","Quantitative Research in Political Science and Public Policy",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"188","22","60075","Control of Manufacturing Processes (SMA 6303)","Control of Manufacturing Processes (SMA 6303)",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"189","22","60074","Quantitative Research Methods: Multivariate","Quantitative Research Methods: Multivariate",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1566922324"
"190","22","60073","Probabilistic Systems Analysis and Applied Probability copia 1","Probabilistic Systems Analysis and Applied Probability_1",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"191","22","60072","Analytics of Finance","Analytics of Finance",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"192","22","60071","Uncertainty in Engineering","Uncertainty in Engineering",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"193","22","60070","Computing and Data Analysis for Environmental Applications","Computing and Data Analysis for Environmental Applications",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
"194","22","60069","Special Seminar in Applied Probability and Stochastic Processes","Special Seminar in Applied Probability and Stochastic Processes",,,"1","topics","1","0","1421761041","0","0","0","0","0","1","1","0","0","0",,,,"1421761041","1421761041","0","0","0","1563799988"
