"1","1","site","0","numsections","1"
"217","64","topics","0","hiddensections","1"
"218","64","topics","0","coursedisplay","0"
"219","65","weeks","0","hiddensections","0"
"220","65","weeks","0","coursedisplay","0"
"221","65","weeks","0","automaticenddate","1"
"236","71","weeks","0","hiddensections","0"
"237","71","weeks","0","coursedisplay","0"
"238","71","weeks","0","automaticenddate","1"
"239","72","weeks","0","hiddensections","0"
"240","72","weeks","0","coursedisplay","0"
"241","72","weeks","0","automaticenddate","0"
"242","74","weeks","0","hiddensections","0"
"243","74","weeks","0","coursedisplay","0"
"244","74","weeks","0","automaticenddate","1"
"245","75","topics","0","hiddensections","0"
"246","75","topics","0","coursedisplay","0"
"247","76","topics","0","hiddensections","0"
"248","76","topics","0","coursedisplay","0"
"315","106","topics","0","hiddensections","0"
"316","106","topics","0","coursedisplay","0"
"367","132","topics","0","hiddensections","0"
"368","132","topics","0","coursedisplay","0"
"369","133","topics","0","hiddensections","0"
"370","133","topics","0","coursedisplay","0"
"373","167","topics","0","hiddensections","0"
"374","167","topics","0","coursedisplay","0"
"375","168","topics","0","hiddensections","0"
"376","168","topics","0","coursedisplay","0"
"377","169","topics","0","hiddensections","0"
"378","169","topics","0","coursedisplay","0"
"379","170","topics","0","hiddensections","0"
"380","170","topics","0","coursedisplay","0"
"381","171","topics","0","hiddensections","0"
"382","171","topics","0","coursedisplay","0"
"383","172","topics","0","hiddensections","0"
"384","172","topics","0","coursedisplay","0"
"385","173","topics","0","hiddensections","0"
"386","173","topics","0","coursedisplay","0"
"387","174","topics","0","hiddensections","0"
"388","174","topics","0","coursedisplay","0"
"389","175","topics","0","hiddensections","0"
"390","175","topics","0","coursedisplay","0"
"391","176","topics","0","hiddensections","0"
"392","176","topics","0","coursedisplay","0"
"393","177","topics","0","hiddensections","0"
"394","177","topics","0","coursedisplay","0"
"395","178","topics","0","hiddensections","0"
"396","178","topics","0","coursedisplay","0"
"397","179","topics","0","hiddensections","0"
"398","179","topics","0","coursedisplay","0"
"399","180","topics","0","hiddensections","0"
"400","180","topics","0","coursedisplay","0"
"401","181","topics","0","hiddensections","0"
"402","181","topics","0","coursedisplay","0"
"403","182","topics","0","hiddensections","0"
"404","182","topics","0","coursedisplay","0"
"405","183","topics","0","hiddensections","0"
"406","183","topics","0","coursedisplay","0"
"407","184","topics","0","hiddensections","0"
"408","184","topics","0","coursedisplay","0"
"409","185","topics","0","hiddensections","0"
"410","185","topics","0","coursedisplay","0"
"411","186","topics","0","hiddensections","0"
"412","186","topics","0","coursedisplay","0"
"413","187","topics","0","hiddensections","0"
"414","187","topics","0","coursedisplay","0"
"415","188","topics","0","hiddensections","0"
"416","188","topics","0","coursedisplay","0"
"417","189","topics","0","hiddensections","0"
"418","189","topics","0","coursedisplay","0"
"419","190","topics","0","hiddensections","0"
"420","190","topics","0","coursedisplay","0"
"421","191","topics","0","hiddensections","0"
"422","191","topics","0","coursedisplay","0"
"423","192","topics","0","hiddensections","0"
"424","192","topics","0","coursedisplay","0"
"425","193","topics","0","hiddensections","0"
"426","193","topics","0","coursedisplay","0"
"427","194","topics","0","hiddensections","1"
"428","194","topics","0","coursedisplay","0"
"429","195","topics","0","hiddensections","0"
"430","195","topics","0","coursedisplay","0"
"431","196","topics","0","hiddensections","0"
"432","196","topics","0","coursedisplay","0"
"433","197","topics","0","hiddensections","1"
"434","197","topics","0","coursedisplay","0"
"435","198","topics","0","hiddensections","0"
"436","198","topics","0","coursedisplay","0"
"437","199","topics","0","hiddensections","0"
"438","199","topics","0","coursedisplay","0"
"439","200","topics","0","hiddensections","0"
"440","200","topics","0","coursedisplay","0"
"441","201","topics","0","hiddensections","0"
"442","201","topics","0","coursedisplay","0"
"443","202","topics","0","hiddensections","1"
"444","202","topics","0","coursedisplay","0"
"445","203","topics","0","hiddensections","1"
"446","203","topics","0","coursedisplay","0"
"447","204","topics","0","hiddensections","0"
"448","204","topics","0","coursedisplay","0"
"449","205","topics","0","hiddensections","1"
"450","205","topics","0","coursedisplay","0"
"451","206","topics","0","hiddensections","0"
"452","206","topics","0","coursedisplay","0"
"455","208","topics","0","hiddensections","0"
"456","208","topics","0","coursedisplay","0"
"457","209","topics","0","hiddensections","0"
"458","209","topics","0","coursedisplay","0"
"459","210","topics","0","hiddensections","0"
"460","210","topics","0","coursedisplay","0"
"461","211","topics","0","hiddensections","1"
"462","211","topics","0","coursedisplay","0"
"463","212","topics","0","hiddensections","0"
"464","212","topics","0","coursedisplay","0"
"465","213","topics","0","hiddensections","0"
"466","213","topics","0","coursedisplay","0"
"467","214","topics","0","hiddensections","1"
"468","214","topics","0","coursedisplay","0"
"469","215","topics","0","hiddensections","0"
"470","215","topics","0","coursedisplay","0"
"471","216","topics","0","hiddensections","0"
"472","216","topics","0","coursedisplay","0"
"473","217","topics","0","hiddensections","0"
"474","217","topics","0","coursedisplay","0"
"475","218","topics","0","hiddensections","0"
"476","218","topics","0","coursedisplay","0"
"477","219","topics","0","hiddensections","0"
"478","219","topics","0","coursedisplay","0"
"479","220","topics","0","hiddensections","0"
"480","220","topics","0","coursedisplay","0"
"481","223","topics","0","hiddensections","1"
"482","223","topics","0","coursedisplay","0"
"483","224","topics","0","hiddensections","0"
"484","224","topics","0","coursedisplay","0"
"485","229","topics","0","hiddensections","0"
"486","229","topics","0","coursedisplay","0"
"487","230","topics","0","hiddensections","0"
"488","230","topics","0","coursedisplay","0"
"489","232","topics","0","hiddensections","1"
"490","232","topics","0","coursedisplay","0"
"491","221","topics","0","hiddensections","1"
"492","221","topics","0","coursedisplay","0"
"497","235","topics","0","hiddensections","1"
"498","235","topics","0","coursedisplay","0"
"499","236","topics","0","hiddensections","1"
"500","236","topics","0","coursedisplay","0"
"501","222","topics","0","hiddensections","1"
"502","222","topics","0","coursedisplay","0"
"503","225","topics","0","hiddensections","1"
"504","225","topics","0","coursedisplay","0"
"505","226","topics","0","hiddensections","0"
"506","226","topics","0","coursedisplay","0"
"507","227","topics","0","hiddensections","1"
"508","227","topics","0","coursedisplay","0"
"509","228","topics","0","hiddensections","0"
"510","228","topics","0","coursedisplay","0"
"511","237","topics","0","hiddensections","0"
"512","237","topics","0","coursedisplay","0"
"513","238","topics","0","hiddensections","0"
"514","238","topics","0","coursedisplay","0"
"515","239","weeks","0","hiddensections","0"
"516","239","weeks","0","coursedisplay","0"
"517","239","weeks","0","automaticenddate","1"
"518","240","topics","0","hiddensections","0"
"519","240","topics","0","coursedisplay","0"
"526","244","topics","0","hiddensections","0"
"527","244","topics","0","coursedisplay","0"
"528","245","topics","0","hiddensections","0"
"529","245","topics","0","coursedisplay","0"
"530","246","topics","0","hiddensections","0"
"531","246","topics","0","coursedisplay","0"
"532","247","topics","0","hiddensections","0"
"533","247","topics","0","coursedisplay","0"
"534","248","topics","0","hiddensections","0"
"535","248","topics","0","coursedisplay","0"
"536","249","topics","0","hiddensections","0"
"537","249","topics","0","coursedisplay","0"
"538","250","topics","0","hiddensections","0"
"539","250","topics","0","coursedisplay","0"
"540","251","topics","0","hiddensections","0"
"541","251","topics","0","coursedisplay","0"
"542","252","topics","0","hiddensections","0"
"543","252","topics","0","coursedisplay","0"
"546","254","topics","0","hiddensections","0"
"547","254","topics","0","coursedisplay","0"
"548","255","topics","0","hiddensections","0"
"549","255","topics","0","coursedisplay","0"
"550","256","topics","0","hiddensections","0"
"551","256","topics","0","coursedisplay","0"
"552","257","topics","0","hiddensections","0"
"553","257","topics","0","coursedisplay","0"
"554","258","topics","0","hiddensections","0"
"555","258","topics","0","coursedisplay","0"
"556","259","topics","0","hiddensections","0"
"557","259","topics","0","coursedisplay","0"
"558","260","topics","0","hiddensections","0"
"559","260","topics","0","coursedisplay","0"
"560","261","topics","0","hiddensections","0"
"561","261","topics","0","coursedisplay","0"
"562","262","topics","0","hiddensections","0"
"563","262","topics","0","coursedisplay","0"
"564","263","topics","0","hiddensections","0"
"565","263","topics","0","coursedisplay","0"
"566","264","topics","0","hiddensections","0"
"567","264","topics","0","coursedisplay","0"
"568","265","topics","0","hiddensections","0"
"569","265","topics","0","coursedisplay","0"
"570","266","topics","0","hiddensections","0"
"571","266","topics","0","coursedisplay","0"
"572","267","topics","0","hiddensections","0"
"573","267","topics","0","coursedisplay","0"
"574","268","topics","0","hiddensections","0"
"575","268","topics","0","coursedisplay","0"
"576","269","topics","0","hiddensections","0"
"577","269","topics","0","coursedisplay","0"
"578","270","topics","0","hiddensections","0"
"579","270","topics","0","coursedisplay","0"
"580","271","topics","0","hiddensections","0"
"581","271","topics","0","coursedisplay","0"
"582","272","topics","0","hiddensections","0"
"583","272","topics","0","coursedisplay","0"
