"id","course","module","instance","section","idnumber","added","score","indent","visible","visibleoncoursepage","visibleold","groupmode","groupingid","completion","completiongradeitemnumber","completionview","completionexpected","showdescription","availability","deletioninprogress"
"63","1","20","1","12",,"1462779595","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"280","1","15","5","12",,"1494422088","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"368","1","12","1","13",NULL,"1507045804","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"369","1","12","2","13",NULL,"1507642700","0","1","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"483","64","9","67","998",NULL,"1507115177","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"484","64","12","19","999",NULL,"1507124682","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"485","64","9","68","999",,"1507639060","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"486","64","15","10","1002",,"1507120153","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"487","64","12","20","1002",NULL,"1507123977","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"488","64","12","21","1002",NULL,"1509628385","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"489","64","12","22","1002",NULL,"1508243878","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"490","64","12","23","1002",NULL,"1508404961","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"491","64","12","24","1002",NULL,"1510142165","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"492","64","12","25","1002",NULL,"1510142322","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"493","64","12","26","1002",NULL,"1510142737","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"494","64","12","27","1002",NULL,"1512729146","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"495","64","12","28","1002",NULL,"1512729689","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"496","64","12","29","1002",NULL,"1512729909","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"497","64","12","30","1002",NULL,"1512730138","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"498","64","12","31","1002",NULL,"1512730328","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"499","64","12","32","1002",NULL,"1512730487","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"500","64","12","33","1002",NULL,"1512730663","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"501","64","12","34","1002",NULL,"1509628215","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"502","64","16","2","1003",,"1496745966","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"503","65","9","69","1024",NULL,"1518347443","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"504","65","17","238","1025",,"1518347619","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"505","65","17","239","1025",,"1518347647","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"506","65","17","240","1026",,"1518347746","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"507","65","17","241","1026",,"1518347790","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"508","65","17","242","1026",,"1518347823","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"509","65","17","243","1026",,"1518347875","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"510","65","17","244","1027",,"1518347981","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"511","65","20","22","1027",,"1518348024","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"512","65","20","23","1027",,"1518348065","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"513","65","20","24","1027",,"1518348087","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"514","65","17","245","1028",,"1518348142","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"515","65","20","25","1028",,"1518348162","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"516","65","17","246","1029",,"1518348233","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"517","65","17","247","1030",,"1518349668","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"548","71","9","75","1087",NULL,"1525962801","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"549","72","9","76","1089",NULL,"1525963746","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"554","71","12","35","1094",NULL,"1525968113","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"555","71","12","36","1094",NULL,"1526037638","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"556","71","12","37","1095",NULL,"1526038039","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"557","71","12","38","1095",NULL,"1526039828","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"558","71","12","39","1095",NULL,"1526040100","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"559","71","8","1","1096",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"562","71","3","1","1096",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"563","71","8","3","1096",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"564","71","8","4","1097",,"1526139673","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"565","71","8","5","1097",,"1526139869","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"570","71","3","2","1097",,"1526142080","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"571","71","8","6","1098",,"1526143054","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"572","71","1","1","1098",,"1526143218","0","0","1","1","1","2","0","0",NULL,"0","0","0",NULL,"0"
"573","71","12","42","1087",NULL,"1526147072","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"574","71","12","43","1099",NULL,"1526154834","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"576","71","16","5","1098",,"1526234589","0","0","1","1","1","2","0","0",NULL,"0","0","0",NULL,"0"
"577","71","4","1","1087",,"1526290518","0","0","1","1","1","2","0","0",NULL,"0","0","0",NULL,"0"
"578","74","9","77","1107",NULL,"1526568907","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"579","74","13","8","1108",,"1526569677","0","0","1","1","1","2","0","0",NULL,"0","0","1",NULL,"0"
"580","74","17","248","1108",,"1526570408","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"581","74","17","249","1109",,"1526570573","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"582","74","13","9","1109",,"1526570807","0","0","1","1","1","2","0","0",NULL,"0","0","1",NULL,"0"
"583","74","1","2","1109",,"1526571038","0","0","1","1","1","2","0","0",NULL,"0","0","0",NULL,"0"
"584","74","13","10","1110",,"1526571178","0","0","1","1","1","2","0","0",NULL,"0","0","1",NULL,"0"
"585","74","17","250","1110",,"1526571234","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"586","74","17","251","1110",,"1526571367","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"587","74","13","11","1111",,"1526571604","0","0","1","1","1","2","0","0",NULL,"0","0","1",NULL,"0"
"588","74","17","252","1111",,"1526571663","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"589","74","13","12","1111",,"1526571823","0","0","1","1","1","2","0","0",NULL,"0","0","1",NULL,"0"
"590","74","17","253","1111",,"1526571873","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"591","1","12","44","13",NULL,"1526632880","0","1","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"593","71","12","46","1119",NULL,"1526651321","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"594","74","16","6","1120",,"1496745966","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"595","74","8","7","1121",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"596","74","3","3","1121",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"597","74","8","8","1121",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"598","74","8","9","1122",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"599","74","3","4","1122",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"600","74","8","10","1122",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"601","74","8","11","1123",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"602","74","3","5","1123",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"603","74","8","12","1123",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"604","74","8","13","1124",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"605","74","3","6","1124",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"606","74","8","14","1124",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"607","74","8","15","1125",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"608","74","3","7","1125",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"609","74","8","16","1125",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"610","74","8","17","1126",,"1526040958","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"611","74","3","8","1126",,"1526137750","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"612","74","8","18","1126",,"1526139263","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
"616","72","12","47","1092",NULL,"1530006142","0","0","1","1","1","0","0","0",NULL,"0","0","1",NULL,"0"
"617","72","8","19","1090",,"1530006873","0","0","1","1","1","0","0","0",NULL,"0","0","0",NULL,"0"
