"id","course","section","name","summary","summaryformat","sequence","visible","availability"
"12","1","0",NULL,,"1","63,77,280","1",NULL
"13","1","1",,"<h1><br></h1>","1","368,591,369","1",NULL
"998","64","0",NULL,,"1","483","1",NULL
"999","64","1","        ",,"1","484,485","1",NULL
"1000","64","2",,,"1",,"0",NULL
"1001","64","3","        ",,"1",,"0",NULL
"1002","64","4","           ",,"1","486,678,677,676,675,674,673,672,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501","1",NULL
"1003","64","5","Esame Editoria Digitale 2017/2018",,"1","502,683,682,681,680,679,671,670,647,648","1",NULL
"1004","64","6",NULL,NULL,"0",,"0",NULL
"1005","64","7",NULL,NULL,"0",,"0",NULL
"1006","64","8",NULL,NULL,"0",,"0",NULL
"1007","64","9",NULL,NULL,"0",,"0",NULL
"1008","64","10",NULL,NULL,"0",,"0",NULL
"1009","64","11",NULL,NULL,"0",,"0",NULL
"1010","64","12",NULL,NULL,"0",,"0",NULL
"1011","64","13",NULL,NULL,"0",,"0",NULL
"1012","64","14",NULL,NULL,"0",,"0",NULL
"1013","64","15",NULL,NULL,"0",,"0",NULL
"1014","64","16",NULL,NULL,"0",,"0",NULL
"1015","64","17",NULL,NULL,"0",,"0",NULL
"1016","64","18",NULL,NULL,"0",,"0",NULL
"1017","64","19",NULL,NULL,"0",,"0",NULL
"1018","64","20",NULL,NULL,"0",,"0",NULL
"1019","64","21",NULL,NULL,"0",,"0",NULL
"1020","64","22",NULL,NULL,"0",,"0",NULL
"1021","64","23",NULL,NULL,"0",,"0",NULL
"1022","64","24",NULL,NULL,"0",,"0",NULL
"1023","64","25","Esame","<p>Esiti pubblicati (ore 16.00).</p><p>Per visualizzarli cliccare sulla risorsa Esame.</p><p>I risultati definitivi della Professoressa Alberti usciranno nei prossimi giorni.</p>","1",,"0",NULL
"1024","65","0",NULL,,"1","503","1",NULL
"1025","65","1"," 09/03 Presentazione del corso",,"1","504,685,505","1",NULL
"1026","65","2","10/04 Analisi degli esercizi di stile",,"1","506,507,508,509","1",NULL
"1027","65","3"," 16/03 Il poema epico",,"1","510,511,512,513","1",NULL
"1028","65","4","17/03 Analisi del testo",,"1","514,515","1",NULL
"1029","65","5","23/03 Analisi del testo",,"1","516","1",NULL
"1030","65","6"," 24/03 Le forme narrative",,"1","517","1",NULL
"1031","65","7",NULL,,"1",,"1",NULL
"1032","65","8",NULL,,"1",,"1",NULL
"1033","65","9",NULL,,"1","915,916,917,918,919,920","1",NULL
"1034","65","10",NULL,,"1",,"1",NULL
"1087","71","0",NULL,,"1","548,577,573","1",NULL
"1089","72","0",NULL,,"1","549,633","1",NULL
"1090","72","2","Modellazione cad Rhino",,"1","617,618,619,620,621","1",NULL
"1091","72","3","Modellazione cad organica con Z-brush",,"1","622","1",NULL
"1092","72","1","Introduzione",,"1","616,626","1",NULL
"1093","72","4","Lab. Stampa 3D",,"1","623,624","1",NULL
"1094","71","1","Modulo 1 : Architetture e Sistemi",,"1","554,555","1",NULL
"1095","71","2","Modulo 2 : Processo di sviluppo del Software e OO Programming",,"1","556,557,558","1",NULL
"1096","71","3","Modulo 3 : Realizzazione di applicazione Java",,"1","559,562,563","1",NULL
"1097","71","4","Modulo 4 : Realizzazione di applicazione Android",,"1","564,565,570","1",NULL
"1098","71","5","Modulo 5 : Web Developer","<p>Il modulo tratta gli aspetti di costruzione e dello sviluppo di pagine Web per la creazione di siti completi e usabili affrontando le tecniche di sviluppo di applicazioni back end usando la tecnologia java.</p><p>Il modulo pone inoltre le basi delle competenze tipiche di web designer e art director digital, con particolare interesse alla UX (User Experience), l’UI design (User Interface design) e all’Architettura dell’informazione.</p><p>Richiami di programmazione ad oggetti e progettazione (OO); Classi: definizione attributi e metodi di classe con costruttore; Vettori: array dinamici; Network e Database; Internet con Java; Paradigma client/server e protocolli usati; Richieste HTTP; Invocare servizi Web e&nbsp; richieste REST; Gestione del formato JSON; Richiami Database e DBMS ed uso di MySQL; Ripasso interrogazioni SQL; Uso del DB in Java con JDBC; Sviluppo Web usando Servlet e JSP; Pagine web; Paradigma MVC; Ripassi di HTML per usarlo in JSP; Servlet e JSP; Servlet e ciclo di vita; JSP e comandi; JSP con DB MySQL.<br></p><p><br></p>","1","571,572,922,576","1",NULL
"1099","71","6","Modulo 6 : Industria 4.0",,"1","574","1",NULL
"1100","71","7","Modulo 7 : IoT ( Internet of Things )",,"1",,"1",NULL
"1101","71","8","Modulo 8 : Project Management",,"1",,"1",NULL
"1102","71","9","Modulo 9 : Lingua inglese e Comunicazioni skills",,"1",,"1",NULL
"1103","71","10","Modulo 10 : Team Building e comunicazione",,"1",,"1",NULL
"1104","71","11","Modulo 11 : Concetti, metodi e strumenti matematici",,"1",,"1",NULL
"1105","71","12","Modulo 12 : Salute e sicurezza nei luoghi di lavoro",,"1",,"1",NULL
"1107","74","0",NULL,,"1","578","1",NULL
"1108","74","1","Diritto Digitale",,"1","579,580","1",NULL
"1109","74","2","Linguaggi Web",,"1","582,581,583","1",NULL
"1110","74","3","Video Editing",,"1","584,585,586","1",NULL
"1111","74","4","Marketing Digitale",,"1","587,588,589,590","1",NULL
"1112","74","5",NULL,,"1",,"1",NULL
"1113","74","6",NULL,,"1",,"1",NULL
"1114","74","7",NULL,,"1",,"1",NULL
"1115","74","8",NULL,,"1",,"1",NULL
"1116","74","9",NULL,,"1",,"1",NULL
"1117","74","10",NULL,,"1",,"1",NULL
"1119","71","13","Modulo 13: Matematica",,"1","593","1",NULL
"1120","74","11","Esame Editoria Digitale 20172018",,"1","594","1",NULL
"1121","74","12","Modulo 3 : Realizzazione di applicazione Java",,"1","595,596,597","1",NULL
"1122","74","13","Modulo 3 : Realizzazione di applicazione Java",,"1","598,599,600","1",NULL
"1123","74","14","Modulo 3 : Realizzazione di applicazione Java",,"1","601,602,603","1",NULL
"1124","74","15","Modulo 3 : Realizzazione di applicazione Java",,"1","604,605,606","1",NULL
"1125","74","16","Modulo 3 : Realizzazione di applicazione Java",,"1","607,608,609","1",NULL
"1126","74","17","Modulo 3 : Realizzazione di applicazione Java",,"1","610,611,612","1",NULL
"1130","72","5","Digital economy",,"1","625","1",NULL
"1131","72","6","Fresa Cnc",,"1","627","1",NULL
"1132","72","7","Keyshot",,"1","628,629,630,631,632","1",NULL
"1133","75","0",NULL,,"1","634","1",NULL
"1134","75","1","Introduzione","<h4 style=""text-align: center; color:#E26200;""><b>Benvenuti al nuovo corso 4.0 di Siam1838 per l'anno 2018/2019</b><br></h4><p></p><p>L’intervento formativo è rivolto a giovani fino a <strong>29 anni</strong>&nbsp;alla data di avvio del corso prevista per il <strong>30 Ottobre 2018</strong>, residenti o domiciliati in Lombardia e in possesso almeno di uno dei seguenti titoli:</p>
<p>–&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;diploma di istruzione secondaria superiore</p>
<p>–&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;diploma professionale di tecnico ovvero attestato di 
competenza III livello europeo conseguito in percorsi IFP antecedenti 
l’anno formativo 2009/2010</p><p></p>
<hr style=""border:2px groove #80c6b1;"">
<p>Di seguito il pdf dettaglio del corso: <a href=""@@PLUGINFILE@@/Siam1838IFTSRobotic.pdf"">Clicca qui per il Pdf</a><br></p><p>E i Video degli anni precedenti: <br></p><p style=""text-align: center; color:#7ab9a5;""><b>!° anno 2016/2017</b><br></p><p style=""text-align: center;""><a target=""_blank"" href=""https://www.youtube.com/watch?v=lzVTNZaIg90"">Clicca qui per il Video del I° anno</a>&nbsp; <br></p><p style=""text-align: center; color:#e3984d;""><b>II° anno 2017/2018</b><br></p><p style=""text-align: center;"">  <a href=""https://www.youtube.com/watch?v=nRVoNS_vfOM"">Clicca qui per il Video del II° anno</a><br></p>
<hr style=""border:2px groove #80c6b1;"">","1","635","1",NULL
"1135","75","7","Approfondimento - Programmazione ad Oggetti","<div style=""text-align: center;""><img src=""@@PLUGINFILE@@/Java.jpg"" alt=""Java php"" width=""600"" height=""250"" class=""img-responsive atto_image_button_middle""><br></div><p><br></p>","1","641","1",NULL
"1136","75","8","Approfondimento - Programmazione Web-Oriented","<div style=""text-align: center;""><img src=""@@PLUGINFILE@@/programmazione.jpg"" alt=""Programmazione web oriented"" width=""600"" height=""250"" class=""img-responsive atto_image_button_middle""><br></div>","1",,"1",NULL
"1137","75","3","Approfondimento - IoT","<div style=""text-align: center;""><img src=""@@PLUGINFILE@@/iot.jpg"" alt=""iot"" width=""600"" height=""250"" class=""img-responsive atto_image_button_text-bottom""><br></div><p><br></p>","1","638","1",NULL
"1138","75","5","Approfondimento - Robotica","<p><a target=""_blank"" href=""https://www.youtube.com/watch?v=uoC2ZGRI8a8"">Robotica</a><br></p>","1","639","1",NULL
"1139","75","6","Approfondimento - Automazione","<p><a target=""_blank"" href=""https://www.youtube.com/watch?v=xb6Xj1gfljc"">Automazione</a><br></p>","1","640","1",NULL
"1140","75","4","Approfondimento - IoRT","<a target=""_blank"" href=""https://www.youtube.com/watch?v=ODF3W_14fgM"">IoRT</a><br>","1","650,799","1",NULL
"1141","75","9","Approfondimento - Stampa 3D","<p><a target=""_blank"" href=""https://www.youtube.com/watch?v=Vx0Z6LplaMU"">Stampa 3D</a><br></p>","1","642","1",NULL
"1142","75","10","Approfondimento - Laser Cutting","<p><a target=""_blank"" href=""https://www.youtube.com/watch?v=SIjUVCho_xU"">Lasercut</a><br></p>","1","643","1",NULL
"1143","75","11","Approfondimento - Fresa CNC","<a target=""_blank"" href=""https://www.youtube.com/watch?v=vG9Ij0WuyNY"">Fresa cnc</a><p><br></p>","1","644","1",NULL
"1144","75","12","Approfondimento - Arduino","<a target=""_blank"" href=""https://www.youtube.com/watch?v=CqrQmQqpHXc"">Arduino</a>","1","636","1",NULL
"1145","75","13","Approfondimento - Digital Economy","<div style=""text-align: center;""><img src=""@@PLUGINFILE@@/Digital%20economy.jpg"" alt=""Digital economy"" width=""600"" height=""250"" class=""img-responsive atto_image_button_middle""><br></div><p><br></p>","1","645","1",NULL
