"id","course","name","intro","introformat","revision","timemodified","display","showexpanded","showdownloadfolder"
"1","71","Esempio Lezione",,"1","2","1526041121","0","1","1"
"3","71","Esercizi",,"1","1","1526139263","0","1","1"
"4","71","Progetti",,"1","1","1526139673","0","1","1"
"5","71","Samples",,"1","1","1526139869","0","1","1"
"6","71","Esempi Lezione",,"1","1","1526143054","0","1","1"
"7","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"8","74","Esercizi",,"1","1","1526139263","0","1","1"
"9","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"10","74","Esercizi",,"1","1","1526139263","0","1","1"
"11","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"12","74","Esercizi",,"1","1","1526139263","0","1","1"
"13","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"14","74","Esercizi",,"1","1","1526139263","0","1","1"
"15","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"16","74","Esercizi",,"1","1","1526139263","0","1","1"
"17","74","Esempio Lezione",,"1","2","1526041121","0","1","1"
"18","74","Esercizi",,"1","1","1526139263","0","1","1"
"19","72","Continuità superficie",,"1","1","1530006873","0","0","1"
"20","72","Loft sweep",,"1","1","1530006959","0","0","1"
"21","72","Pezzi meccanici",,"1","1","1530007028","0","0","1"
"22","72","Rivoluzione",,"1","1","1530007092","0","0","1"
"23","72","Scorri lungo superficie",,"1","1","1530007154","0","0","1"
"24","72","Esercizi",,"1","1","1530007328","0","0","1"
"25","72","Esempi",,"1","1","1530008358","0","0","1"
"26","72","Lezioni",,"1","1","1530008616","0","0","1"
"27","72","Morsetto",,"1","1","1530009576","0","0","1"
"28","72","Mappatura",,"1","1","1530009662","0","0","1"
"29","72","Pentola",,"1","1","1530009778","0","0","1"
"30","72","Turbina",,"1","1","1530009863","0","0","1"
