"id","course","name","intro","introformat","practice","modattempts","usepassword","password","dependency","conditions","grade","custom","ongoing","usemaxgrade","maxanswers","maxattempts","review","nextpagedefault","feedback","minquestions","maxpages","timelimit","retake","activitylink","mediafile","mediaheight","mediawidth","mediaclose","slideshow","width","height","bgcolor","displayleft","displayleftif","progressbar","available","deadline","timemodified","completionendreached","completiontimespent","allowofflineattempts"
"8","74","Diritti digitali","<p>1. Introduzione al diritto digitale. D.R.M. e licenze alternative.</p><p>Creative Commons. Come si prestano i BIT?;</p><p>2. Diritto d’autore/Copyright (durata, termini, immagini, testi,</p><p>musica, video), Copyright 3.0 aka Copyright Flat , Pirateria.</p><p>3. Privacy, diritto all’oblio, Facebook, Pinterest, Twitter: policy,</p><p>casi pratici e comparati.</p>","1","1","1","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","1","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","1","0","1","0","0","1526569677","0","0","0"
"9","74","LINGUAGGI WEB","<p><p><strong>HTML</strong>&nbsp;è l’acronimo di&nbsp;<em>HyperText Markup Language</em>&nbsp;(“Linguaggio di contrassegno per gli Ipertesti”) e non è un linguaggio di programmazione. Si tratta invece di un&nbsp;<strong>linguaggio di markup</strong>&nbsp;(di ‘contrassegno’ o ‘di marcatura’), che permette di indicare come disporre gli elementi all’interno di una pagina.</p><div>Queste indicazioni vengono date attraverso degli appositi marcatori, detti&nbsp;<strong>tag</strong>&nbsp;(<em>‘etichette’</em>), che hanno la caratteristica di essere inclusi tra parentesi angolari&nbsp;</div></p>","1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1526570936","0","0","0"
"10","74","Basi di Video Editing","<p>Evoluzione dei formati audio e video. Il digitale e gli standard televisivi,I fuori formato e l’alta definizione<br></p>","1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1526571178","0","0","0"
"11","74","Inbound & Outbound Marketing","<p><p>Tra gli adetti ai lavori è già da qualche anno che si&nbsp;discute&nbsp;delle virtù dell'inbound marketing&nbsp;e sulle&nbsp;differenze con l'outbound marketing.<br>Eppure, ancora oggi, solo una minima parte delle aziende di tutto il mondo ha capito in cosa consiste questa differenza tra inbound marketing e outbound marketing. Meno ancora quelle che hanno iniziato ad utilizzare l'inbound marketing a proprio vantaggio.</p><p>Partiamo dai fondamentali:<strong>&nbsp;che cosa sono l'inbound marketing e l'outbound marketing.</strong></p><br></p>","1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1526571604","0","0","0"
"12","74","Tecniche SEO e SEM","<p><p>Capire la differenza tra SEO e SEM, ossia tra&nbsp;<em>Search Engine Optimization</em>&nbsp;e&nbsp;<em>Search Engine Marketing</em>, è di vitale importanza quando decidi quale risorse e quale budget destinare al marketing. Partiamo col dare una&nbsp;<strong>definizione di SEO</strong>:&nbsp;ottimizzazione per i motori di ricerca significa mettere in atto ogni provvedimento necessario affinchè un sito web abbia la struttura e i contenuti di facile indicizzazione per i motori di ricerca.&nbsp;In sostanza, la SEO si concentra sui&nbsp;<strong>risultati organici</strong>&nbsp;dei motori di ricerca; fa in modo che, quando un utente cerca su Google una determinata parola chiave legata a ciò di cui ti occupi, il tuo sito appaia tra i primi risultati restituiti.</p><p>Il SEM - secondo la definizione più utilizzata nel presente - ruota attorno all'<strong>advertising</strong>&nbsp;sui motori di ricerca, come il&nbsp;<a title=""Come e Perché Sfruttare il Google Advertising"" href=""https://www.netstrategy.it/web-marketing/sfruttare-il-google-advertising-come-e-perche""><em>Google Advertising</em></a>, e include tutti i processi di scelta delle giuste parole chiave sulle quali&nbsp;<strong>investire&nbsp;</strong>i propri fondi disponibili; l'obiettivo di tale strategia consiste nell'apparire tra i&nbsp;<strong>risultati sponsorizzati</strong>&nbsp;dei principali motori di ricerca.</p><p>La definizione appena fornita di SEM, come appena sottolineato, è coerente con la corrente di pensiero più in voga nel momento attuale, ma in determinati contesti può assumere un significato differente. Il video che segue fornisce una&nbsp;<strong>spiegazione dettagliata</strong>&nbsp;di questa distinzione e racconta in che modo, nella storia del web marketing, sia evoluto il&nbsp;significato&nbsp;di tale acronimo. Al termine della visualizzazione, sarai in grado di comprendere esattamente il suo significato e relazionarlo adeguatamente con il concetto di SEO.</p><br></p>","1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1526571823","0","0","0"
"51","132","prova",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559656078","0","0","0"
"52","132","prova",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559657060","0","0","0"
"53","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660000","0","0","0"
"54","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660000","0","0","0"
"55","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660000","0","0","0"
"56","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660152","0","0","0"
"57","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660152","0","0","0"
"58","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660152","0","0","0"
"59","132","autoGenRes4",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660580","0","0","0"
"60","132","autoGenRes3",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660581","0","0","0"
"61","132","autoGenRes2",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660581","0","0","0"
"62","132","autoGenRes1",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660582","0","0","0"
"63","132","autoGenResPart26",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660661","0","0","0"
"64","132","autoGenResPart25",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660662","0","0","0"
"65","132","autoGenResPart24",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660662","0","0","0"
"66","132","autoGenResPart23",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660662","0","0","0"
"67","132","autoGenResPart22",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660663","0","0","0"
"68","132","autoGenResPart21",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660663","0","0","0"
"69","132","roba",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1560153733","0","0","0"
"70","133","autoGenRes4",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660580","0","0","0"
"71","133","autoGenRes2",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1559660581","0","0","0"
"72","133","roba",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1560153733","0","0","0"
"73","248","roba",,"1","0","0","0",,"0","O:8:""stdClass"":3:{s:9:""timespent"";i:0;s:9:""completed"";i:0;s:15:""gradebetterthan"";i:0;}","100","1","0","0","4","1","0","0","0","0","1","0","0","0",,"480","640","0","0","640","480","#FFFFFF","0","0","0","0","0","1560153733","0","0","0"
