"Id_metadata","Id_course","Id_course_sections","Id_resource","Property","Value","grade","courseGrade","lang"
"3","4",NULL,NULL,"category","Professione Farmacia",NULL,"0",NULL
"4","4",NULL,NULL,"s_req_skill","Dispositivi medici","1","0",NULL
"5","4",NULL,NULL,"s_req_skill","Presidi medico-chirurgici","1","0",NULL
"6","4",NULL,NULL,"s_acq_skill","Diagnostici in vitro","1","0",NULL
"12","4","20",NULL,"category","Professione Farmacia",NULL,"0",NULL
"15","4","20",NULL,"difficulty","Medium",NULL,"0",NULL
"16","4","20",NULL,"d_req_skill","Dispositivi medici","3","0",NULL
"17","4","20",NULL,"status","gold",NULL,"0",NULL
"26","3","15",NULL,"category","Professione Farmacia",NULL,"0",NULL
"29","3","15",NULL,"difficulty","Very easy",NULL,"0",NULL
"30","3","15",NULL,"status","green",NULL,"0",NULL
"31","3","16",NULL,"category","Professione Farmacia",NULL,"0",NULL
"34","3","16",NULL,"difficulty","Medium",NULL,"0",NULL
"35","3","16",NULL,"status","yellow",NULL,"0",NULL
"36","3","17",NULL,"category","Professione Farmacia",NULL,"0",NULL
"39","3","17",NULL,"difficulty","Medium",NULL,"0",NULL
"40","3","17",NULL,"status","yellow",NULL,"0",NULL
"41","3","18",NULL,"category","Professione Farmacia",NULL,"0",NULL
"44","3","18",NULL,"difficulty","Medium",NULL,"0",NULL
"45","3","18",NULL,"status","yellow",NULL,"0",NULL
"46","4","20","14","language","English",NULL,"0",NULL
"47","4","20","14","format","Video",NULL,"0",NULL
"48","4","20","14","resourcetype","Exercise",NULL,"0",NULL
"49","4","20","14","time","minutes30",NULL,"0",NULL
"50","4","20","14","language","English",NULL,"0",NULL
"51","4","20","14","format","Video",NULL,"0",NULL
"52","4","20","14","resourcetype","Exercise",NULL,"0",NULL
"53","4","20","14","time","minutes30",NULL,"0",NULL
"54","4","20","15","language","English",NULL,"0",NULL
"55","4","20","15","format","Video",NULL,"0",NULL
"56","4","20","15","resourcetype",,NULL,"0",NULL
"57","4","20","15","time","minutes30",NULL,"0",NULL
"58","4","20","15","language","English",NULL,"0",NULL
"59","4","20","15","format","Video",NULL,"0",NULL
"60","4","20","15","resourcetype",,NULL,"0",NULL
"61","4","20","15","time","minutes30",NULL,"0",NULL
"151","5","35","21","language","English",NULL,"0",NULL
"152","5","35","21","format","Text",NULL,"0",NULL
"153","5","35","21","resourcetype",,NULL,"0",NULL
"154","5","35","21","time","minutes90",NULL,"0",NULL
"155","5","35","21","language","English",NULL,"0",NULL
"156","5","35","21","format","Text",NULL,"0",NULL
"157","5","35","21","resourcetype",,NULL,"0",NULL
"158","5","35","21","time","minutes90",NULL,"0",NULL
"171","5","37",NULL,"category","Ati 14",NULL,"0",NULL
"174","5","37",NULL,"keywords","rianimazione",NULL,"0","it"
"175","5","37",NULL,"keywords","riabilitazione",NULL,"0","it"
"176","5","37",NULL,"keywords","terapia intensiva",NULL,"0","it"
"177","5","37",NULL,"difficulty","Medium",NULL,"0",NULL
"178","5","37",NULL,"d_req_skill","Fisiologia cardiopolmonare di base","5","0",NULL
"179","5","37",NULL,"d_req_skill","Analgesici","5","0",NULL
"180","5","37",NULL,"d_acq_skill","Fisiologia cardiopolmonare di base","6","0",NULL
"181","5","37",NULL,"d_acq_skill","Analgesici","6","0",NULL
"182","5","37",NULL,"status","green",NULL,"0",NULL
"183","5","38",NULL,"category","Ati 14",NULL,"0",NULL
"186","5","38",NULL,"keywords","post-arresto",NULL,"0","it"
"187","5","38",NULL,"keywords","outcome",NULL,"0","it"
"188","5","38",NULL,"keywords","arresto cardiaco",NULL,"0","it"
"189","5","38",NULL,"difficulty","Medium",NULL,"0",NULL
"190","5","38",NULL,"d_req_skill","Fisiologia cardiopolmonare di base","4","0",NULL
"191","5","38",NULL,"d_req_skill","Analgesici","4","0",NULL
"192","5","38",NULL,"d_acq_skill","Fisiologia cardiopolmonare di base","5","0",NULL
"193","5","38",NULL,"d_acq_skill","Analgesici","5","0",NULL
"194","5","38",NULL,"status","green",NULL,"0",NULL
"195","5","39",NULL,"category","Ati 14",NULL,"0",NULL
"198","5","39",NULL,"keywords","fisiopatologia",NULL,"0","it"
"199","5","39",NULL,"keywords","sindrome cardio-renali",NULL,"0","it"
"200","5","39",NULL,"difficulty","Difficult",NULL,"0",NULL
"201","5","39",NULL,"d_req_skill","Farmacologia di sedativi","5","0",NULL
"202","5","39",NULL,"d_req_skill","Analgesici","5","0",NULL
"203","5","39",NULL,"d_acq_skill","Farmacologia di sedativi","6","0",NULL
"204","5","39",NULL,"d_acq_skill","Analgesici","6","0",NULL
"205","5","39",NULL,"status","green",NULL,"0",NULL
"206","5","40",NULL,"category","Ati 14",NULL,"0",NULL
"209","5","40",NULL,"keywords","livello plasmatico",NULL,"0","it"
"210","5","40",NULL,"keywords","lattato",NULL,"0","it"
"211","5","40",NULL,"difficulty","Medium",NULL,"0",NULL
"212","5","40",NULL,"d_req_skill","Fisiologia cardiopolmonare di base","4","0",NULL
