"id","course","name","intro","introformat","tobemigrated","legacyfiles","legacyfileslast","display","displayoptions","filterfiles","revision","timemodified"
"238","65","Moodboard File",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347619"
"239","65","Compito",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347647"
"240","65","EsQueneau File",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347746"
"241","65","Queneau_esercizi di stile File",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347790"
"242","65","Compito",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347823"
"243","65","Iscritti",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347875"
"244","65","Epica",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518347981"
"245","65","Morfologia della fiaba di Propp",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518348142"
"246","65","Greimas",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518348233"
"247","65","Il soggetto File",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1518349668"
"248","74","LEZIONI ","<p>Introduzione alle problematiche del diritto digitale PDF</p>","1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526570408"
"249","74","LEZIONI TEORICHE","<p>Introduzione ai linguaggi html 4, html 5, Javascript</p>","1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526570573"
"250","74","LEZIONI TEORICHE",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526571234"
"251","74","ESEMPIO VIDEO EMOZIONALE ",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526571367"
"252","74","LEZIONI 1,2,3",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526571663"
"253","74","LEZIONI 4,5,6,7",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1526571873"
"254","72","Calendario",,"1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1530008778"
"255","229","pdf prova","<p>sfwewrw</p>","1","0","0",NULL,"0","a:1:{s:10:""printintro"";i:1;}","0","1","1560852294"
