"id","course","name","intro","introformat","externalurl","display","displayoptions","parameters","timemodified"
"1","1","Social Network",,"1","http://woteach3.westeurope.cloudapp.azure.com/sn/","5","a:0:{}","a:0:{}","1496137805"
"22","65","Cantastorie dei balcani URL",,"1","https://www.youtube.com/watch?v=8buaCDlYU2U","0","a:1:{s:10:""printintro"";i:1;}","a:0:{}","1518348024"
"23","65","Chunhyang, film coreano 2000",,"1","https://www.youtube.com/watch?v=PvG8y3bNmgg&t=4980s","0","a:1:{s:10:""printintro"";i:1;}","a:0:{}","1518348065"
"24","65","The tales of Hoffmann, film britannico 1951, pellicola restaurata Venezia 2014",,"1","https://www.youtube.com/watch?v=pd6kcRznZEI&list=PLuk2s7KUu3o1O0uNXxnDE4ewIF3qP4n_u","0","a:1:{s:10:""printintro"";i:1;}","a:0:{}","1518348087"
"25","65","La fiaba Lo zar orso",,"1","https://books.google.it/books?id=4UOGAAAAQBAJ&pg=PT203&lpg=PT203&dq=scalpello+zar+orso&source=bl&ots=mIfwABcw1-&sig=ZJgxvVvI3_dLKh4xuH7y3DzTIXA&hl=it&sa=X&ei=R6EIVazqIYS0UbHJgogL&ved=0CCEQ6AEwAA#v=onepage&q=scalpello%20zar%20orso&f=false","0","a:1:{s:10:""printintro"";i:1;}","a:0:{}","1518348162"
"38","167","Voting classifiers, training error of boosting",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l2.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"39","167","Support vector machines (SVM)",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l3.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"40","167","Generalization error of SVM",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l4.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"41","167","One dimensional concentration inequalities. Bennett''s inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l5.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"42","167","Bernstein''s inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l6.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"43","167","Hoeffding, Hoeffding-Chernoff, and Khinchine inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l7.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"44","167","Vapnik-Chervonenkis classes of sets",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l8.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739050"
"45","167","Properties of VC classes of sets",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l9.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"46","167","Symmetrization. Pessimistic VC inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l10.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"47","167","Optimistic VC inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l11.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"48","167","VC subgraph classes of functions. Packing and covering numbers",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l12.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"49","167","Covering numbers of the VC subgraph classes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l13.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"50","167","Kolmogorov''s chaining method. Dudley''s entropy integral",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l14.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"51","167","More symmetrization. Generalized VC inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l15.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"52","167","Consequences of the generalized VC inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l16.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"53","167","Covering numbers of the convex hull",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l17.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"54","167","Uniform entropy condition of VC-hull classes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l18.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"55","167","Generalization error bound for VC-hull classes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l19.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"56","167","Bounds on the generalization error of voting classifiers 1",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l20.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"57","167","Bounds on the generalization error of voting classifiers 2",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l21.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"58","167","Bounds on the generalization error of voting classifiers 3",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l22.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"59","167","Bounds in terms of sparsity",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l23.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"60","167","Bounds in terms of sparsity : (example)",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l24.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"61","167","Martingale-difference inequalities",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l25.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"62","167","Comparison inequality for Rademacher processes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l26.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"63","167","Application of martingale inequalities. Generalized martingale inequalities",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l27.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"64","167","Generalization bounds for neural networks 1",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l28.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"65","167","Generalization bounds for neural networks 2",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l29.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739051"
"66","167","Generalization bounds for kernel methods 3",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l30.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"67","167","Optimistic VC inequality for random classes of sets",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l31.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"68","167","Applications of random VC inequality to voting algorithms and SVM",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l32.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"69","167","Talagrand''s convex-hull distance inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l33.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"70","167","Consequences of Talagrand''s convex-hull distance inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l34.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"71","167","Talagrand''s concentration inequality for empirical processes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l35.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"72","167","Talagrand''s two-point inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l36.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"73","167","Talagrand''s concentration inequality for empirical processes",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l37.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"74","167","Applications of Talagrand''s concentration inequality",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l38.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"75","167","Applications of talagrand''s convex-hull distance inequality. Bin packing",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l39.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"76","167","Entropy tensorization inequality. Tensorization of Laplace transform",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l40.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"77","167","Application of the entropy tensorization technique",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l41.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"78","167","Stein''s method for concentration inequalities",,"1","http://ocw.mit.edu/courses/mathematics/18-465-topics-in-statistics-statistical-learning-theory-spring-2007/lecture-notes/l42.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"79","168","Binomial confidence intervals",,"1","http://ocw.mit.edu/courses/mathematics/18-443-statistics-for-applications-spring-2009/readings/MIT18_443s09_assn02_res02.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"80","169","Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 1",,"1","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005/lecture-notes/briefnts1_events.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"81","169","Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 2",,"1","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005/lecture-notes/app1_reli_final.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"82","169","Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 3",,"1","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005/lecture-notes/app2_hazards.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
"83","169","Events and their Probability, Elementary Operations with Events, Total Probability Theorem, Independence, Bayes'' Theorem 4",,"1","http://ocw.mit.edu/courses/civil-and-environmental-engineering/1-151-probability-and-statistics-in-engineering-spring-2005/lecture-notes/app3_fedra.pdf","6","a:2:{s:10:'popupwidth';i:620;s:11:'popupheight';i:450;}","a:0:{}","1432739052"
